,name,followers,current_viewers,days,hours,minutes,test
2726,tidesoftime,96361,4996,1,3,10,2015-06-01 03:10:00
2751,tidesoftime,96405,5272,1,3,20,2015-06-01 03:20:00
2776,tidesoftime,96405,4541,1,3,30,2015-06-01 03:30:00
2801,tidesoftime,96405,4822,1,3,40,2015-06-01 03:40:00
2826,tidesoftime,96405,4996,1,3,50,2015-06-01 03:50:00
2851,tidesoftime,96405,5245,1,4,0,2015-06-01 04:00:00
2876,tidesoftime,96405,5328,1,4,10,2015-06-01 04:10:00
2901,tidesoftime,96460,5466,1,4,20,2015-06-01 04:20:00
2926,tidesoftime,96460,5325,1,4,30,2015-06-01 04:30:00
2951,tidesoftime,96460,5347,1,4,40,2015-06-01 04:40:00
2975,tidesoftime,96460,9393,1,4,50,2015-06-01 04:50:00
3000,tidesoftime,96460,10615,1,5,0,2015-06-01 05:00:00
3025,tidesoftime,96460,11656,1,5,10,2015-06-01 05:10:00
3050,tidesoftime,96608,12367,1,5,20,2015-06-01 05:20:00
3075,tidesoftime,96608,13365,1,5,40,2015-06-01 05:40:00
3100,tidesoftime,96608,13441,1,5,50,2015-06-01 05:50:00
3125,tidesoftime,96608,13505,1,6,0,2015-06-01 06:00:00
3150,tidesoftime,96608,12756,1,6,10,2015-06-01 06:10:00
3175,tidesoftime,96836,13094,1,6,20,2015-06-01 06:20:00
3200,tidesoftime,96836,12972,1,6,30,2015-06-01 06:30:00
3225,tidesoftime,96836,12665,1,6,40,2015-06-01 06:40:00
3250,tidesoftime,96836,13014,1,6,50,2015-06-01 06:50:00
3275,tidesoftime,96836,13287,1,7,0,2015-06-01 07:00:00
3300,tidesoftime,96836,13755,1,7,10,2015-06-01 07:10:00
3325,tidesoftime,97057,12849,1,7,20,2015-06-01 07:20:00
3350,tidesoftime,97057,13362,1,7,30,2015-06-01 07:30:00
3375,tidesoftime,97057,13432,1,7,40,2015-06-01 07:40:00
3400,tidesoftime,97057,14382,1,7,50,2015-06-01 07:50:00
3425,tidesoftime,97057,13779,1,8,10,2015-06-01 08:10:00
3450,tidesoftime,97211,13348,1,8,20,2015-06-01 08:20:00
3475,tidesoftime,97211,12498,1,8,40,2015-06-01 08:40:00
3481,kolento,178212,1659,1,8,40,2015-06-01 08:40:00
3500,tidesoftime,97211,12663,1,8,50,2015-06-01 08:50:00
3503,kolento,178212,3243,1,8,50,2015-06-01 08:50:00
3525,tidesoftime,97211,12535,1,9,0,2015-06-01 09:00:00
3527,kolento,178212,4918,1,9,0,2015-06-01 09:00:00
3551,kolento,178308,9456,1,9,20,2015-06-01 09:20:00
3575,kolento,178308,13005,1,9,40,2015-06-01 09:40:00
3600,kolento,178308,16075,1,10,0,2015-06-01 10:00:00
3625,kolento,178308,16760,1,10,10,2015-06-01 10:10:00
3650,kolento,178566,17541,1,10,30,2015-06-01 10:30:00
3675,kolento,178566,18188,1,10,50,2015-06-01 10:50:00
3700,kolento,178566,19199,1,11,0,2015-06-01 11:00:00
3725,kolento,178566,20151,1,11,10,2015-06-01 11:10:00
3750,kolento,178830,21145,1,11,30,2015-06-01 11:30:00
3775,kolento,178830,24455,1,11,50,2015-06-01 11:50:00
3800,kolento,178830,23584,1,12,0,2015-06-01 12:00:00
3825,kolento,178830,24181,1,12,10,2015-06-01 12:10:00
3850,kolento,179152,25563,1,12,20,2015-06-01 12:20:00
3875,kolento,179152,25536,1,12,30,2015-06-01 12:30:00
3900,kolento,179152,25845,1,12,50,2015-06-01 12:50:00
3925,kolento,179152,24517,1,13,0,2015-06-01 13:00:00
3950,kolento,179152,25605,1,13,10,2015-06-01 13:10:00
3975,kolento,179471,26325,1,13,20,2015-06-01 13:20:00
4000,kolento,179471,26644,1,13,30,2015-06-01 13:30:00
4025,kolento,179471,28022,1,13,40,2015-06-01 13:40:00
4050,kolento,179471,24767,1,13,50,2015-06-01 13:50:00
4075,kolento,179471,26115,1,14,0,2015-06-01 14:00:00
4100,kolento,179471,25137,1,14,10,2015-06-01 14:10:00
4125,kolento,179753,25913,1,14,20,2015-06-01 14:20:00
